
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2016-1-1,31,25,19,22,18,12,77,73,68,30.23,30.17,30.12,10,10,9,22,14,28,T,6,Snow,257<br />
2016-1-2,32,26,20,23,19,16,84,74,63,30.14,30.06,29.95,10,10,10,23,12,32,0.00,2,,260<br />
2016-1-3,29,26,22,21,19,16,81,75,68,30.30,30.17,29.96,10,10,10,21,12,25,T,7,Snow,324<br />
2016-1-4,31,27,22,24,19,16,78,68,58,30.56,30.45,30.30,10,9,3,20,10,23,T,6,Snow,355<br />
2016-1-5,33,25,17,22,18,12,84,70,56,30.57,30.48,30.37,10,10,10,21,10,25,0.00,3,,188<br />
2016-1-6,36,29,21,28,23,17,84,70,56,30.36,30.27,30.19,10,10,10,16,9,19,0.00,7,,187<br />
2016-1-7,41,38,34,30,27,25,76,68,59,30.17,30.07,29.95,10,10,10,13,7,18,0.01,8,,155<br />
2016-1-8,42,39,36,41,38,30,100,88,76,29.93,29.77,29.70,10,4,1,10,6,12,0.19,8,Rain,162<br />
2016-1-9,40,32,23,40,33,19,100,92,84,29.86,29.79,29.74,8,3,0,26,10,32,0.27,8,Fog-Rain-Snow,313<br />
2016-1-10,23,13,2,19,6,-6,84,78,72,30.12,29.97,29.75,10,10,7,28,18,37,T,5,Snow,295<br />
2016-1-11,24,12,-1,21,11,-7,96,84,72,30.14,29.86,29.65,10,4,1,26,10,35,0.11,7,Snow,213<br />
2016-1-12,20,12,3,13,2,-6,76,70,63,30.22,29.95,29.67,10,8,1,26,16,34,0.01,4,Snow,287<br />
2016-1-13,25,12,-2,19,6,-6,87,78,68,30.24,30.01,29.80,10,10,8,18,9,23,T,5,Snow,218<br />
2016-1-14,44,34,24,37,30,19,85,74,62,29.78,29.65,29.51,10,10,10,21,10,29,0.00,5,,206<br />
2016-1-15,43,37,30,38,32,24,92,84,76,29.67,29.47,29.37,10,8,2,23,13,28,0.01,7,Rain,267<br />
2016-1-16,30,20,9,24,16,0,81,69,57,30.01,29.86,29.66,10,10,10,25,14,32,0.00,4,,293<br />
2016-1-17,8,4,-1,-2,-8,-11,69,62,54,30.27,30.13,30.01,10,10,9,24,16,30,0.00,3,,297<br />
2016-1-18,7,2,-4,-5,-8,-12,72,64,55,30.40,30.34,30.27,10,10,10,20,14,26,0.00,0,,282<br />
2016-1-19,17,9,0,4,-2,-9,75,61,47,30.57,30.48,30.41,10,10,10,15,6,18,0.00,4,,236<br />
2016-1-20,23,18,12,14,12,8,92,76,59,30.38,30.29,30.20,10,7,1,9,4,11,0.05,7,Snow,240<br />
2016-1-21,29,19,9,17,14,9,92,75,58,30.41,30.35,30.31,10,9,6,8,3,12,0.00,5,,302<br />
2016-1-22,30,25,19,23,20,15,88,76,63,30.30,30.25,30.20,10,6,2,17,11,21,0.02,7,Snow,360<br />
2016-1-23,33,27,20,24,20,18,88,72,56,30.26,30.18,30.06,10,10,9,14,6,18,T,6,Snow,291<br />
2016-1-24,34,29,24,25,21,16,92,77,61,30.06,29.98,29.92,10,8,6,20,8,24,0.00,7,,203<br />
2016-1-25,41,33,24,39,31,21,93,79,64,29.93,29.74,29.61,10,7,2,25,10,32,0.13,8,Rain,185<br />
2016-1-26,36,30,24,34,24,17,85,74,63,30.23,29.97,29.65,10,9,4,28,17,35,0.02,7,Rain-Snow,269<br />
2016-1-27,34,29,23,25,19,14,81,67,53,30.27,30.10,29.79,10,10,9,29,13,38,T,6,Snow,235<br />
2016-1-28,39,34,29,30,25,16,82,68,53,29.86,29.72,29.64,10,10,10,22,15,29,T,6,,293<br />
2016-1-29,35,28,20,26,16,10,69,55,41,30.04,29.90,29.68,10,10,10,23,11,30,T,5,Snow,210<br />
2016-1-30,46,41,35,38,33,28,89,75,60,29.71,29.67,29.62,10,10,10,20,9,25,T,6,Rain,227<br />
2016-1-31,48,41,33,45,38,31,100,93,85,29.86,29.62,29.46,10,7,4,18,8,24,0.02,7,Rain,252<br />
