
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-1-1,22,16,10,16,14,3,80,76,71,30.31,30.23,30.17,9,3,0,20,11,24,0.25,8,Snow,46<br />
2014-1-2,21,10,-1,16,8,-11,80,71,61,30.43,30.22,30.09,10,4,0,22,13,26,0.22,6,Snow,352<br />
2014-1-3,20,4,-12,10,-1,-15,74,63,52,30.45,30.26,29.94,10,9,5,35,15,44,0.00,3,Snow,211<br />
2014-1-4,31,25,19,27,21,10,85,71,57,30.01,29.91,29.83,10,4,0,27,14,40,0.26,7,Fog-Snow,218<br />
2014-1-5,29,13,-3,25,7,-15,88,71,53,30.05,30.00,29.91,10,2,0,31,17,38,0.59,8,Snow,346<br />
2014-1-6,-2,-9,-16,-17,-23,-27,63,56,49,30.29,30.22,30.08,10,10,9,28,19,35,0.00,2,,274<br />
2014-1-7,3,-4,-12,-8,-15,-21,78,65,51,30.35,30.30,30.27,10,10,10,18,10,22,0.00,3,,238<br />
2014-1-8,17,6,-6,-3,-6,-10,82,62,42,30.54,30.43,30.32,10,10,7,10,5,14,0.00,4,Fog,320<br />
2014-1-9,27,12,-4,23,10,-10,81,71,61,30.54,30.34,30.15,10,6,2,14,6,16,0.01,7,Snow,147<br />
2014-1-10,40,34,27,36,30,23,92,87,82,30.14,29.86,29.51,9,3,1,20,11,26,0.80,8,Rain,173<br />
2014-1-11,40,36,31,37,30,23,92,81,69,29.78,29.52,29.40,10,7,0,22,14,28,0.06,8,Fog-Rain,257<br />
2014-1-12,44,36,28,30,26,22,78,68,58,29.87,29.75,29.60,10,10,6,28,16,36,0.00,7,,209<br />
2014-1-13,45,36,27,31,28,20,76,67,57,29.78,29.63,29.54,10,10,10,25,11,34,0.00,4,,246<br />
2014-1-14,35,29,22,29,21,14,82,70,58,29.88,29.72,29.58,10,6,1,33,15,44,0.01,7,Snow,240<br />
2014-1-15,22,19,15,14,8,6,77,67,56,30.09,30.00,29.86,10,10,5,20,12,24,T,5,Snow,268<br />
2014-1-16,34,27,19,29,20,7,82,69,55,29.81,29.57,29.46,10,7,2,26,16,34,0.01,8,Snow,225<br />
2014-1-17,20,16,12,10,6,1,80,67,54,29.99,29.88,29.72,10,8,3,17,12,21,0.04,8,Snow,268<br />
2014-1-18,21,14,7,15,9,1,80,73,66,29.95,29.84,29.72,10,6,0,16,7,19,0.12,7,Fog-Snow,166<br />
2014-1-19,37,24,10,26,16,4,83,71,58,29.86,29.68,29.52,10,9,6,26,14,35,0.00,6,,242<br />
2014-1-20,35,24,13,25,18,7,80,72,63,30.07,29.91,29.60,10,7,0,24,12,31,0.17,8,Snow,10<br />
2014-1-21,13,7,0,6,-6,-9,76,59,42,30.31,30.22,30.05,10,8,0,26,14,35,0.07,4,Snow,332<br />
2014-1-22,15,8,0,6,-1,-12,73,65,57,30.19,29.99,29.86,10,6,1,23,12,31,T,7,Snow,259<br />
2014-1-23,10,3,-5,-5,-10,-15,62,57,51,30.62,30.48,30.22,10,10,10,21,14,27,T,1,,292<br />
2014-1-24,28,11,-6,22,6,-16,81,62,43,30.53,29.85,29.44,10,6,1,38,20,51,0.02,7,Snow,222<br />
2014-1-25,33,20,7,27,9,-8,85,61,36,29.88,29.58,29.37,10,8,4,32,18,41,T,5,Rain-Snow,282<br />
2014-1-26,31,19,6,19,8,-5,80,66,51,29.82,29.56,29.42,10,5,0,33,16,44,0.17,7,Snow,243<br />
2014-1-27,6,0,-7,-6,-16,-20,69,57,45,30.45,30.28,29.88,10,10,8,26,16,36,0.00,2,,288<br />
2014-1-28,3,-4,-11,-8,-14,-20,69,60,51,30.46,30.38,30.26,10,10,10,21,12,25,0.00,0,,257<br />
2014-1-29,23,12,1,4,-2,-9,69,54,39,30.24,30.16,30.01,10,10,10,24,13,30,0.00,0,,227<br />
2014-1-30,33,27,20,24,17,5,78,61,43,29.98,29.78,29.64,10,8,1,37,18,45,T,7,Snow,216<br />
2014-1-31,28,23,17,17,10,3,77,63,49,30.17,30.09,29.93,10,8,2,16,6,19,0.01,8,Snow,296<br />
