
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-12-1,42,36,29,34,30,28,92,77,62,30.11,30.06,29.99,10,9,5,12,6,23,0.00,6,,14<br />
2013-12-2,44,37,29,36,31,27,92,73,53,29.97,29.85,29.75,10,7,2,16,7,21,0.07,7,Rain,109<br />
2013-12-3,50,44,37,48,43,35,100,96,92,29.75,29.70,29.66,4,3,1,15,8,18,0.02,8,Rain,159<br />
2013-12-4,56,48,39,54,48,36,100,91,82,29.73,29.62,29.50,10,5,1,29,12,36,0.02,8,,181<br />
2013-12-5,39,30,21,36,20,11,92,75,57,30.26,29.99,29.66,10,10,10,25,14,32,0.00,8,,271<br />
2013-12-6,21,17,13,10,7,2,74,65,56,30.56,30.40,30.25,10,10,10,17,10,22,0.00,6,,317<br />
2013-12-7,21,15,8,4,2,0,73,59,45,30.71,30.64,30.57,10,10,10,13,7,20,0.00,2,,333<br />
2013-12-8,26,21,15,25,17,1,92,73,53,30.59,30.20,29.92,10,5,1,20,9,23,0.24,8,Snow,100<br />
2013-12-9,25,13,0,22,9,-7,88,75,61,30.25,30.10,29.94,10,8,4,25,15,32,T,6,Snow,262<br />
2013-12-10,25,10,-6,10,3,-8,79,68,56,30.31,30.13,29.99,10,8,1,29,14,36,T,5,Snow,241<br />
2013-12-11,21,11,1,13,7,-9,88,72,55,30.58,30.38,30.25,10,6,1,17,9,22,0.05,6,Snow,278<br />
2013-12-12,19,8,-3,10,1,-10,79,66,53,30.55,30.37,30.22,10,10,10,20,11,29,0.00,5,,247<br />
2013-12-13,32,23,13,27,18,10,88,75,62,30.21,30.15,30.09,10,9,4,15,6,20,0.01,7,Snow,99<br />
2013-12-14,31,27,22,29,26,19,92,87,81,30.10,29.98,29.89,10,5,1,16,11,23,0.23,8,Snow,39<br />
2013-12-15,23,17,10,18,7,1,88,75,61,30.14,30.03,29.92,10,10,7,24,12,29,T,7,Snow,277<br />
2013-12-16,21,14,7,18,11,-4,91,72,53,30.17,30.06,30.00,10,7,0,15,6,19,0.05,8,Fog-Snow,254<br />
2013-12-17,33,25,16,23,18,13,92,73,54,30.09,30.00,29.93,10,7,1,21,13,27,0.01,7,Snow,260<br />
2013-12-18,35,25,15,25,15,9,80,60,39,30.16,30.00,29.83,10,10,10,25,13,33,0.00,4,,226<br />
2013-12-19,39,36,33,32,30,25,89,77,64,29.93,29.87,29.79,10,6,1,18,7,24,0.06,7,Rain,25<br />
2013-12-20,36,35,33,32,30,29,89,89,89,29.82,29.77,29.71,9,4,2,18,9,23,0.31,8,Rain,10<br />
2013-12-21,35,33,30,34,30,27,100,91,82,29.85,29.78,29.63,10,3,0,23,9,34,0.24,8,Fog-Rain,2<br />
2013-12-22,34,29,24,33,28,19,100,91,81,30.12,29.80,29.58,10,7,2,21,11,26,0.20,8,Rain-Snow,331<br />
2013-12-23,26,13,-1,21,6,-10,88,77,65,30.47,30.32,30.12,10,9,5,21,13,27,T,5,Snow,265<br />
2013-12-24,18,8,-2,9,-4,-10,72,63,53,30.58,30.49,30.36,10,8,1,15,9,20,0.01,6,Snow,245<br />
2013-12-25,27,23,18,22,17,9,81,72,62,30.35,30.17,30.07,10,6,0,18,10,22,0.07,8,Snow,223<br />
2013-12-26,34,24,14,26,16,8,74,69,63,30.30,30.20,30.07,10,10,7,23,10,28,T,7,Snow,242<br />
2013-12-27,41,31,21,28,25,17,92,73,54,30.29,30.19,30.08,10,9,4,22,10,32,0.00,4,,230<br />
2013-12-28,50,42,33,31,29,27,82,64,46,30.09,29.98,29.82,10,10,10,22,13,28,0.00,1,,221<br />
2013-12-29,40,26,11,28,18,-1,85,71,56,30.20,29.93,29.53,10,9,2,21,12,28,0.01,8,Snow,329<br />
2013-12-30,13,7,1,2,-2,-8,73,60,46,30.35,30.24,30.17,10,7,2,17,7,20,0.04,6,Snow,283<br />
2013-12-31,12,7,2,6,2,-5,76,70,63,30.37,30.30,30.16,10,5,1,15,8,22,0.30,6,Snow,293<br />
