
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,32,23,14,15,10,3,68,59,49,30.16,30.08,29.99,10,10,10,24,15,30,0.00,3,,244<br />
2015-1-2,34,25,15,21,18,13,84,66,47,30.34,30.25,30.16,10,10,10,12,5,13,0.00,5,,184<br />
2015-1-3,34,32,29,34,30,21,100,85,69,30.15,29.91,29.77,10,3,1,13,6,14,0.57,8,Rain-Snow,59<br />
2015-1-4,33,18,2,32,18,-8,96,77,58,30.53,30.01,29.71,10,4,0,26,16,31,0.13,7,Fog-Snow,316<br />
2015-1-5,6,2,-3,2,-4,-11,87,73,59,30.68,30.51,30.37,10,6,1,22,10,26,0.15,6,Snow,254<br />
2015-1-6,10,3,-5,2,-1,-6,95,81,66,30.42,30.34,30.29,10,8,2,24,14,30,0.01,6,Snow,307<br />
2015-1-7,6,0,-6,-4,-12,-15,69,60,51,30.83,30.67,30.37,10,10,10,28,17,33,0.00,1,,304<br />
2015-1-8,18,5,-8,13,1,-15,83,74,64,30.65,29.99,29.77,10,3,0,28,18,39,0.06,7,Snow,229<br />
2015-1-9,11,6,0,5,-4,-10,76,65,54,30.46,30.25,29.93,10,8,2,30,17,38,T,4,Snow,284<br />
2015-1-10,24,11,-2,12,2,-7,86,70,53,30.47,30.38,30.28,10,10,10,22,12,27,0.00,5,,215<br />
2015-1-11,32,27,22,27,22,11,92,73,54,30.29,30.26,30.23,10,5,0,18,8,21,0.19,7,Fog-Snow,215<br />
2015-1-12,28,22,15,27,12,4,92,72,51,30.70,30.47,30.23,10,9,2,21,13,25,T,6,Snow,340<br />
2015-1-13,19,11,3,10,8,2,83,73,62,30.76,30.65,30.49,10,8,2,20,8,23,T,6,Snow,72<br />
2015-1-14,19,10,1,11,7,0,91,79,67,30.45,30.34,30.22,10,9,6,14,6,18,T,6,Snow,226<br />
2015-1-15,34,26,17,22,18,11,88,75,61,30.20,30.06,29.97,10,10,9,21,10,27,0.00,4,,237<br />
2015-1-16,34,29,23,25,23,20,88,76,64,30.21,30.12,30.00,10,10,7,15,8,18,0.00,5,,118<br />
2015-1-17,42,34,26,32,29,22,88,74,60,29.96,29.70,29.61,10,10,7,28,15,37,0.00,7,,219<br />
2015-1-18,40,34,27,31,28,25,92,78,64,30.01,29.82,29.64,10,10,9,20,10,24,T,5,Snow,270<br />
2015-1-19,41,33,25,30,27,23,100,82,64,30.04,29.98,29.88,10,10,9,12,5,13,T,5,Snow,92<br />
2015-1-20,36,33,29,33,30,27,96,91,85,30.03,29.93,29.83,10,7,3,17,7,23,T,8,,36<br />
2015-1-21,33,31,29,29,26,21,92,81,69,30.29,30.10,29.99,10,9,7,14,8,17,0.01,8,Snow,9<br />
2015-1-22,31,30,28,24,23,21,78,75,72,30.45,30.38,30.26,10,10,8,15,7,19,0.00,8,,289<br />
2015-1-23,31,30,29,24,23,22,85,77,69,30.35,30.11,29.82,10,10,9,17,12,24,0.00,8,,234<br />
2015-1-24,43,36,29,31,28,24,89,77,65,29.79,29.70,29.62,10,10,9,18,8,24,0.00,7,,264<br />
2015-1-25,34,29,24,32,24,15,96,80,63,30.01,29.83,29.66,10,6,1,26,15,35,0.08,7,Snow,39<br />
2015-1-26,26,21,15,24,20,12,100,84,68,30.01,29.92,29.85,10,6,2,13,6,16,0.07,8,Snow,181<br />
2015-1-27,32,26,20,25,21,15,92,73,53,30.29,30.14,29.93,10,9,5,13,6,15,T,6,Snow,35<br />
2015-1-28,34,27,19,26,19,13,88,69,49,30.31,30.14,29.82,10,10,10,20,11,25,0.01,6,Rain,167<br />
2015-1-29,35,32,28,29,26,19,82,69,56,30.34,29.96,29.69,10,8,1,26,14,35,0.01,8,Snow,321<br />
2015-1-30,30,24,18,14,10,7,73,58,42,30.55,30.46,30.36,10,10,10,20,7,27,T,2,,315<br />
2015-1-31,36,28,19,29,24,14,92,76,59,30.34,30.21,30.14,10,7,1,16,7,19,0.12,7,Snow,235<br />
